Group,Participant,Task,Success
CTCT,1,1,0
CTCT,1,2,1
CTCT,1,3,0
CTCT,1,4,1
CTCT,2,1,1
CTCT,2,2,1
CTCT,2,3,1
CTCT,2,4,0
CTCT,3,1,1
CTCT,3,2,1
CTCT,3,3,0
CTCT,3,4,1
CTCT,4,1,0
CTCT,4,2,1
CTCT,4,3,1
CTCT,4,4,1
CTCT,5,1,0
CTCT,5,2,1
CTCT,5,3,1
CTCT,5,4,1
CTCT,6,1,1
CTCT,6,2,1
CTCT,6,3,1
CTCT,6,4,0
CTCT,7,1,0
CTCT,7,2,1
CTCT,7,3,1
CTCT,7,4,0
CTCT,8,1,1
CTCT,8,2,0
CTCT,8,3,0
CTCT,8,4,0
Benchmark,1,1,0
Benchmark,1,2,0
Benchmark,1,3,1
Benchmark,1,4,0
Benchmark,2,1,1
Benchmark,2,2,1
Benchmark,2,3,0
Benchmark,2,4,1
Benchmark,3,1,1
Benchmark,3,2,1
Benchmark,3,3,0
Benchmark,3,4,0
Benchmark,4,1,1
Benchmark,4,2,1
Benchmark,4,3,0
Benchmark,4,4,1
Benchmark,5,1,0
Benchmark,5,2,0
Benchmark,5,3,0
Benchmark,5,4,0
Benchmark,6,1,1
Benchmark,6,2,0
Benchmark,6,3,0
Benchmark,6,4,1
Benchmark,7,1,0
Benchmark,7,2,1
Benchmark,7,3,1
Benchmark,7,4,1
Benchmark,8,1,0
Benchmark,8,2,1
Benchmark,8,3,0
Benchmark,8,4,1
